,username,name,avatar,rating,total_points,results
210,byniolus,Zbigniew Pakleza,https://images.chesscomfiles.com/uploads/v1/user/18283748.11266d99.200x200o.92e540d2ccbf.jpeg,2760,323.5,"[7.5, 6.5, 7.0, 4.0, 7.5, 8.5, '-', 5.5, 6.5, 7.5, 7.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.5, 7.0, 7.5, 7.0, 7.5, 7.0, 6.0, 5.5, 7.0, 7.0, '-', '-', 7.5, 7.0, 5.0, 8.0, '-', 7.5, 7.5, 6.5, '-', 7.0, '-', 5.5, 7.0, 7.5, 5.5, 7.0, 6.0, '-', '-', 7.5, '-', '-', 7.0, '-', 4.0, '-', 7.0, 7.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1122,polish_fighter3000,Jan-Krzysztof Duda,https://images.chesscomfiles.com/uploads/v1/user/47485766.de241c41.200x200o.7b706ebf58e7.jpeg,3045,314,"[10.0, 3.0, 9.0, 8.5, 5.5, 9.0, '-', '-', 6.0, 8.5, '-', 7.0, '-', '-', '-', '-', 9.5, 8.5, 9.0, 7.0, '-', 9.5, 7.5, 8.0, 8.0, 8.0, 9.5, 9.0, 9.0, 7.5, '-', 8.0, 8.5, 8.0, 9.5, 9.0, '-', '-', '-', '-', '-', 8.0, 8.5, 8.5, 7.0, 8.0, 6.5, 9.5, '-', '-', '-', '-', '-', '-', '-', 7.5, 6.0, 7.5, 9.0, 8.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
187,bogdandeac,Bogdan Daniel Deac,,3007,307.5,"[7.5, 8.0, 7.0, 9.0, 7.5, '-', '-', 7.5, 8.0, 9.5, '-', 6.5, '-', 9.0, 8.5, 8.0, 8.0, 7.5, '-', 8.0, '-', 7.5, 8.0, 8.0, 8.0, 8.5, '-', '-', '-', 8.0, 9.0, 7.5, 9.0, 8.0, 7.5, 9.0, '-', '-', '-', 7.5, '-', '-', 8.0, 8.0, 8.5, 7.5, 8.5, 9.0, '-', '-', '-', '-', 7.5, 8.5, 8.5, 8.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1161,rasmussvane,Rasmus Svane,https://images.chesscomfiles.com/uploads/v1/user/31622756.a6a3292e.200x200o.51f98e63d668.jpeg,2961,303.5,"[7.5, 8.0, 8.0, 7.5, 8.5, '-', '-', 7.5, 8.0, 8.0, '-', 2.5, '-', 4.0, 7.0, 5.5, 8.0, 8.0, '-', '-', '-', 9.0, 8.0, 9.0, 5.0, 9.0, 8.0, 5.5, 7.0, 5.5, 8.0, 4.5, 4.5, 8.0, '-', '-', '-', '-', '-', '-', 8.0, 8.5, 8.5, 4.0, 8.0, 9.0, '-', '-', 6.0, 2.5, '-', '-', 9.0, 4.5, 5.5, 8.5, 7.5, 8.5, 8.5, 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
48,alexrustemov,Alexander Rustemov,https://images.chesscomfiles.com/uploads/v1/user/76468406.c90f04b8.200x200o.8b32461248d3.jpeg,2830,292,"[6.0, 7.5, 5.5, 8.0, 8.5, '-', '-', 7.0, '-', '-', '-', 6.5, 7.5, 1.5, 7.0, 6.5, 8.5, 5.0, 7.0, 8.0, 8.0, 6.5, 6.5, 7.5, 7.0, 7.5, '-', 6.0, 7.5, 8.0, 8.0, 8.0, 8.0, 8.0, 6.5, '-', '-', '-', '-', 6.5, '-', 7.0, 8.0, 8.5, 6.0, 7.0, '-', 6.0, '-', 8.5, '-', 7.5, 7.5, 7.0, '-', 7.0, '-', 2.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1433,vladimirkramnik,Vladimir Kramnik,https://images.chesscomfiles.com/uploads/v1/user/68294742.8a353c1a.200x200o.37a107319248.jpeg,3003,282.5,"['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 8.5, 7.5, '-', 7.5, 7.5, 4.0, '-', 8.5, 6.5, 9.5, 8.5, 8.0, '-', 9.0, 7.0, 8.0, 7.5, 7.0, 3.0, '-', 7.5, 7.0, 8.5, 6.0, 6.5, 8.5, 8.5, 8.0, 9.0, 8.0, 8.0, 4.0, 8.0, 7.5, 8.5, 5.5, '-', '-', 6.5, 0.0, '-', 8.0, 8.0, 8.5, 9.0, 6.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
157,beca95,Aleksandar Indjic,https://images.chesscomfiles.com/uploads/v1/user/17624806.097e54f8.200x200o.b87e774bef37.jpeg,2938,278.5,"[7.0, 7.5, 7.0, 7.5, 8.0, '-', '-', 8.5, 3.0, 7.0, 6.5, 4.0, 9.0, 8.5, 5.5, 7.0, 7.5, 8.5, '-', 8.5, '-', '-', 7.5, 8.5, '-', '-', 8.0, 9.0, 8.0, 8.0, 6.0, 7.0, 7.0, 7.0, 8.0, 7.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', 7.5, '-', '-', 7.5, 8.5, 7.5, 8.0, 8.5, 8.0, '-', '-', '-', '-', 9.0, 2.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
972,mikhail_golubev,Mikhail Golubev,https://images.chesscomfiles.com/uploads/v1/user/18246510.1d057fbe.200x200o.a8a289116df3.jpeg,2550,277,"['-', 5.5, 6.5, 6.0, 5.5, 6.5, '-', 4.0, 4.0, 6.5, 6.0, 5.0, 6.0, 4.0, 6.0, 6.0, 4.5, 4.5, 6.0, 6.0, '-', 5.5, 4.5, 6.0, 5.5, 5.5, 4.5, 3.0, 4.0, 7.0, 5.0, 4.5, 2.5, 6.0, 4.5, 3.5, 6.0, 5.0, 5.5, 5.5, 5.0, 6.0, 6.0, 6.0, '-', 6.0, 5.5, 5.0, '-', 4.5, 6.0, 6.0, 5.0, 8.0, '-', '-', 6.0, 6.0, '-', 4.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
429,fandorine,Maksim Chigaev,https://images.chesscomfiles.com/uploads/v1/user/21261072.e56346a3.200x200o.60899594a940.jpeg,2947,276,"[9.5, 8.5, 9.0, 8.0, '-', 8.0, '-', 7.0, 6.0, 8.0, 7.5, 7.5, 8.0, 8.0, 8.0, 8.5, 4.0, 7.5, '-', '-', '-', 6.5, 8.0, 6.5, 6.0, '-', 0.0, 7.5, '-', '-', 5.0, '-', 7.0, 3.5, 8.0, 5.5, 5.5, 6.0, 2.0, '-', '-', '-', '-', '-', '-', 4.5, 8.0, 8.0, 7.5, '-', 7.5, 8.5, 8.0, 8.0, 8.5, 7.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
305,danielnaroditsky,Daniel Naroditsky,https://images.chesscomfiles.com/uploads/v1/user/1715324.840b7522.200x200o.b79dde86ff74.jpg,3100,272,"[7.5, 7.0, '-', 9.0, 6.5, 8.0, '-', 9.0, '-', 4.5, '-', 8.0, '-', 7.0, '-', 8.5, '-', '-', 8.0, 8.5, '-', 7.0, 8.0, 5.5, 5.0, 7.5, 8.0, 8.5, '-', 9.0, 9.0, 8.0, 8.0, 8.0, '-', 8.5, '-', 7.5, '-', 9.0, '-', 7.5, 9.0, 7.0, 8.5, '-', '-', '-', '-', '-', '-', 8.0, '-', 8.5, '-', '-', '-', 7.5, '-', 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
